"Source:","C:\Users\danst\Documents\Rockstar\Modular\designs\KiCad\development\8-pots-1-mux\8-pots-1-mux\8-pots-1-mux.kicad_sch"
"Date:","8/9/2023 7:51:29 PM"
"Tool:","Eeschema (7.0.0)"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","11"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","C1","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","",""
"2","1","J1","Conn_01x08_Female","Connector:Conn_01x06_Female","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Horizontal","~","",""
"3","8","RV1, RV2, RV3, RV4, RV5, RV6, RV7, RV8","R_Potentiometer","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical","~","",""
"4","1","U1","4051","4xxx:4051","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4051bms-52bms-53bms.pdf","",""
